state_po,Latitude,Longitude,S,state
AL,32.318231,-86.902298,Alabama,alabama
AR,35.20105,-91.831833,Arkansas,arkansas
AZ,34.048928,-111.093731,Arizona,arizona
CA,36.778261,-119.417932,California,california
CO,39.550051,-105.782067,Colorado,colorado
CT,41.603221,-73.087749,Connecticut,connecticut
DC,38.905985,-77.033418,District of Columbia,district of columbia
DE,38.910832,-75.52767,Delaware,delaware
FL,27.664827,-81.515754,Florida,florida
GA,32.157435,-82.907123,Georgia,georgia
IA,41.878003,-93.097702,Iowa,iowa
ID,44.068202,-114.742041,Idaho,idaho
IL,40.633125,-89.398528,Illinois,illinois
IN,40.551217,-85.602364,Indiana,indiana
KS,39.011902,-98.484246,Kansas,kansas
KY,37.839333,-84.270018,Kentucky,kentucky
LA,31.244823,-92.145024,Louisiana,louisiana
MA,42.407211,-71.382437,Massachusetts,massachusetts
MD,39.045755,-76.641271,Maryland,maryland
ME,45.253783,-69.445469,Maine,maine
MI,44.314844,-85.602364,Michigan,michigan
MN,46.729553,-94.6859,Minnesota,minnesota
MO,37.964253,-91.831833,Missouri,missouri
MS,32.354668,-89.398528,Mississippi,mississippi
MT,46.879682,-110.362566,Montana,montana
NC,35.759573,-79.0193,North Carolina,north carolina
ND,47.551493,-101.002012,North Dakota,north dakota
NE,41.492537,-99.901813,Nebraska,nebraska
NH,43.193852,-71.572395,New Hampshire,new hampshire
NJ,40.058324,-74.405661,New Jersey,new jersey
NM,34.97273,-105.032363,New Mexico,new mexico
NV,38.80261,-116.419389,Nevada,nevada
NY,43.299428,-74.217933,New York,new york
OH,40.417287,-82.907123,Ohio,ohio
OK,35.007752,-97.092877,Oklahoma,oklahoma
OR,43.804133,-120.554201,Oregon,oregon
PA,41.203322,-77.194525,Pennsylvania,pennsylvania
RI,41.580095,-71.477429,Rhode Island,rhode island
SC,33.836081,-81.163725,South Carolina,south carolina
SD,43.969515,-99.901813,South Dakota,south dakota
TN,35.517491,-86.580447,Tennessee,tennessee
TX,31.968599,-99.901813,Texas,texas
UT,39.32098,-111.093731,Utah,utah
VA,37.431573,-78.656894,Virginia,virginia
VT,44.558803,-72.577841,Vermont,vermont
WA,47.751074,-120.740139,Washington,washington
WI,43.78444,-88.787868,Wisconsin,wisconsin
WV,38.597626,-80.454903,West Virginia,west virginia
WY,43.075968,-107.290284,Wyoming,wyoming
